,ID,log2FoldChange
800,FBgn0004430,1.796358707
801,FBgn0004431,-0.882769834
802,FBgn0004432,-0.392716064
803,FBgn0004435,-0.219482812
804,FBgn0004436,0.076495475
805,FBgn0004449,0.480801782
806,FBgn0004456,0.528513549
807,FBgn0004463,-0.127480516
808,FBgn0004465,-0.582648465
809,FBgn0004507,0.035586147
810,FBgn0004509,-0.026824326
811,FBgn0004510,0.085601607
812,FBgn0004511,-3.712599383
813,FBgn0004512,0.076272629
814,FBgn0004513,0.563674062
815,FBgn0004514,-0.075539885
816,FBgn0004516,0.036891118
817,FBgn0004552,1.264945881
818,FBgn0004554,-0.592026447
819,FBgn0004556,-0.367021686
820,FBgn0004567,-0.005523952
821,FBgn0004569,-0.409528969
822,FBgn0004573,0.274612074
823,FBgn0004574,0.026670513
824,FBgn0004575,0.653825206
825,FBgn0004577,-1.787324521
826,FBgn0004580,0.129033521
827,FBgn0004581,2.131243903
828,FBgn0004583,0.222096634
829,FBgn0004584,-0.321734373
830,FBgn0004587,0.258522057
831,FBgn0004588,NA
832,FBgn0004589,-2.589687908
833,FBgn0004590,NA
834,FBgn0004591,NA
835,FBgn0004592,NA
836,FBgn0004593,NA
837,FBgn0004594,NA
838,FBgn0004595,0.125753984
839,FBgn0004597,-0.247491918
840,FBgn0004598,0.069494171
841,FBgn0004606,0.038258611
842,FBgn0004607,0.348907118
843,FBgn0004611,0.492444451
844,FBgn0004618,0.334775801
845,FBgn0004619,0.077870705
846,FBgn0004620,0.088746186
847,FBgn0004622,0.369721053
848,FBgn0004623,-0.306407964
849,FBgn0004629,-0.420054477
850,FBgn0004635,-0.000783448
851,FBgn0004636,0.027270106
852,FBgn0004638,0.064359517
